Servidor_IP,Pais,ISP,Modo_Servidor,Version,Online,Max,Muestra,Premium_Muestra,NoPremium_Muestra,Nuevos_Jugadores,Icono
mp.enchantedmc.net,Canada,"Cloudflare, Inc.",DESCONOCIDO,1.13-1.21,1164,2025,0,0,0,0,mp.enchantedmc.net.png
go.mccentral.org,Canada,TCPShield,PREMIUM,Velocity 1.7.2-1.21.10,1052,10000,0,0,0,0,go.mccentral.org.png
server.mineville.net,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,1051,3500,0,0,0,0,server.mineville.net.png
lobby.manacube.com,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,1049,3500,0,0,0,0,lobby.manacube.com.png
smp.aternos.net,Canada,OVH SAS,PREMIUM,Velocity 1.7.2-1.21.10,1047,3500,0,0,0,0,smp.aternos.net.png
play.ekblur-ul.xyz:25565,Unknown,Unknown,NO-PREMIUM,§f§6¡Únete!                                                             §6§l¡Únete ahora!,1000,1000,12,0,0,0,play.ekblur-ul.xyz_25565.png
go.mineberry.org,Unknown,Unknown,NO-PREMIUM,CheatBungee 1.8.x - 1.20.x,978,7000,0,0,0,0,go.mineberry.org.png
oplegends.com,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,955,10000,0,0,0,0,oplegends.com.png
play.pvplegacy.net,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,921,1,0,0,0,0,play.pvplegacy.net.png
mpsl.pika.host,Canada,"Cloudflare, Inc.",NO-PREMIUM,Velocity 1.7.2-1.21.10,874,6500,0,0,0,0,mpsl.pika.host.png
mp.pika.host,Canada,"Cloudflare, Inc.",NO-PREMIUM,Velocity 1.7.2-1.21.10,861,6500,0,0,0,0,mp.pika.host.png
play.talonmc.net,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.10,804,2025,0,0,0,0,play.talonmc.net.png
mcmp.mythcraft.com,Unknown,Unknown,PREMIUM,1.21.9,680,3000,1,0,0,0,mcmp.mythcraft.com.png
mcfleet.net,Canada,"Cloudflare, Inc.",NO-PREMIUM,MCFleet Proxy 1.8.8-1.21.4,585,6000,0,0,0,0,mcfleet.net.png
PLAY.PURPLEPRISON.XYZ,United States,Gameserverkings,PREMIUM,"Paper 1.7.x, 1.8.x, 1.9.x, 1.10.x, 1.11.x, 1.12.x, 1.13.x, 1.14.x, 1.15.x, 1.16.x, 1.17.x, 1.18.x, 1.19.x, 1.20.x, 1.21.x",576,1000,7,7,0,7,PLAY.PURPLEPRISON.XYZ.png
mc.reallyworld.ru,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,572,7500,0,0,0,0,mc.reallyworld.ru.png
mcmp.vortexnetwork.net:25565,Unknown,Unknown,PREMIUM,1.21.9,571,3000,1,0,0,0,mcmp.vortexnetwork.net_25565.png
mpu.jartex.fun,Canada,"Cloudflare, Inc.",NO-PREMIUM,Velocity 1.7.2-1.21.10,543,5000,0,0,0,0,mpu.jartex.fun.png
MLegacy.ru:25565,Unknown,Unknown,NO-PREMIUM,NullCordX 1.8.x-1.21.x,536,669,0,0,0,0,MLegacy.ru_25565.png
cosmicsky.net,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,516,3000,0,0,0,0,cosmicsky.net.png
nerdzone.gg,Unknown,Unknown,NO-PREMIUM,1.8-1.20,502,503,0,0,0,0,nerdzone.gg.png
play.regorland.net:25565,Canada,OVH SAS,DESCONOCIDO,§4¡Versión incompatible!,498,2000,0,0,0,0,play.regorland.net_25565.png
applemc.fun,Canada,TCPShield,NO-PREMIUM,Velocity 1.7.2-1.21.10,469,3000,1,1,0,1,applemc.fun.png
play.applemc.fun,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,469,3000,1,1,0,1,play.applemc.fun.png
arch.mc,Unknown,Unknown,NO-PREMIUM,Symphony 1.8.8-1.21.4,464,10000,0,0,0,0,arch.mc.png
play.mccisland.net,Unknown,Unknown,DESCONOCIDO,1.21.4+,463,2000,0,0,0,0,play.mccisland.net.png
mp.bosscraft.net,United States,Proxied Networks LLC,PREMIUM,FlameCord 1.7.x-1.21.x,462,2000,0,0,0,0,mp.bosscraft.net.png
oyna.chickennw.com,Germany,Zenlayer Inc,DESCONOCIDO,Velocity 1.7.2-1.21.10,457,10000,0,0,0,0,oyna.chickennw.com.png
play.chickennw.com,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,453,10000,0,0,0,0,play.chickennw.com.png
hot.clubcraft.net,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.9,430,5000,0,0,0,0,hot.clubcraft.net.png
spookmc.net,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,421,2000,1,1,0,1,spookmc.net.png
minebuilders.me,Unknown,Unknown,NO-PREMIUM,"XCord 1.7.x, 1.8.x, 1.9.x, 1.10.x, 1.11.x, 1.12.x, 1.13.x, 1.14.x, 1.15.x, 1.16.x, 1.17.x, 1.18.x, 1.19.x",413,920,0,0,0,0,minebuilders.me.png
hey.clubcraft.net,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.9,410,5000,0,0,0,0,hey.clubcraft.net.png
join.minebuilders.me,Unknown,Unknown,NO-PREMIUM,"XCord 1.7.x, 1.8.x, 1.9.x, 1.10.x, 1.11.x, 1.12.x, 1.13.x, 1.14.x, 1.15.x, 1.16.x, 1.17.x, 1.18.x, 1.19.x",410,920,0,0,0,0,join.minebuilders.me.png
play.legendsmc.net,Unknown,Unknown,PREMIUM,FlameCord 1.7-1.19.2,370,999,0,0,0,0,play.legendsmc.net.png
mp.oneblocky.com:25565,United States,Pufferfish Studios LLC,DESCONOCIDO,OneblockyPaper 1.19-1.21.8,366,2025,0,0,0,0,mp.oneblocky.com_25565.png
play.rinaorc.com,Unknown,Unknown,NO-PREMIUM,Rinaorc Studios,363,2500,0,0,0,0,play.rinaorc.com.png
meetionmc.com,Unknown,Unknown,NO-PREMIUM,YourServer 1.12.2-1.20.5,360,2000,0,0,0,0,meetionmc.com.png
mp.wildnetwork.net,France,OVH SAS,PREMIUM,Velocity 1.7.2-1.21.10,356,1500,5,5,0,5,mp.wildnetwork.net.png
MP.HylexMC.net:25565,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,354,2500,0,0,0,0,MP.HylexMC.net_25565.png
play.blossomcraft.org,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,351,500,0,0,0,0,play.blossomcraft.org.png
play.minecadia.com,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,333,5000,0,0,0,0,play.minecadia.com.png
play.pokefind.co:25565,Unknown,Unknown,DESCONOCIDO,§cPokéFind 1.21.5-1.21.10,333,1000,8,8,0,8,
mp.opblocks.com,United States,"fy, Inc.",DESCONOCIDO,Velocity 1.7.2-1.21.9,327,500,0,0,0,0,mp.opblocks.com.png
play.mcs.gg,Canada,TCPShield,DESCONOCIDO,Velocity 1.7.2-1.21.10,323,2500,0,0,0,0,play.mcs.gg.png
fun.mineseed.org,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,319,5000,0,0,0,0,fun.mineseed.org.png
mp.lifestealsmp.com,Germany,Zenlayer Inc,DESCONOCIDO,§b§l§nSEASON 9§b §f§lʟɪᴠᴇ§f                                                              §7308§8/§7500,308,500,0,0,0,0,mp.lifestealsmp.com.png
blocksmc.com,Germany,Zenlayer Inc,NO-PREMIUM,FlameCord 1.7.x-1.21.x,306,10000,0,0,0,0,blocksmc.com.png
play.lifesteal-smp.com:25565,Unknown,Unknown,DESCONOCIDO,§b§l§nSEASON 9§b §f§lʟɪᴠᴇ§f                                                              §7304§8/§7500,304,500,0,0,0,0,play.lifesteal-smp.com_25565.png
play.nevercore.net,Unknown,Unknown,DESCONOCIDO,YourServer 1.12.2-1.21,299,300,0,0,0,0,play.nevercore.net.png
mc.hycraft.us,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,298,5000,0,0,0,0,mc.hycraft.us.png
mcmp.cosmosmc.org,Canada,"Cloudflare, Inc.",DESCONOCIDO,Velocity 1.7.2-1.21.9,283,1000,0,0,0,0,mcmp.cosmosmc.org.png
mp.lemoncloud.net,United States,Proxied Networks LLC,DESCONOCIDO,Requires MC 1.20 - 1.21.8,278,1000,0,0,0,0,mp.lemoncloud.net.png
play.firemc.fun,Canada,"Cloudflare, Inc.",NO-PREMIUM,FireProxy 1.13-1.21.10,274,1000,0,0,0,0,play.firemc.fun.png
mc.latamcraft.es:25565,Unknown,Unknown,NO-PREMIUM,NullCordX ,274,304,0,0,0,0,mc.latamcraft.es_25565.png
play.kampungeles.id,Canada,"Cloudflare, Inc.",DESCONOCIDO,Velocity 1.7.2-1.21.10,273,2025,0,0,0,0,play.kampungeles.id.png
mp.minelatino.net,United States,ReliableSite.Net LLC,NO-PREMIUM,NullCordX 1.8.x-1.21.x,273,9999,0,0,0,0,mp.minelatino.net.png
play.horusmc.net,United States,ReliableSite.Net LLC,DESCONOCIDO,NullCordX ,272,2560,0,0,0,0,play.horusmc.net.png
play.relxmc.com,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,271,2025,0,0,0,0,play.relxmc.com.png
play.cosmic.rip,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.9,271,1000,0,0,0,0,play.cosmic.rip.png
fun.fadecloud.com:25565,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,270,2000,0,0,0,0,fun.fadecloud.com_25565.png
aemine.vn,Unknown,Unknown,NO-PREMIUM,AECord 1.7-1.21,269,2025,7,0,0,0,aemine.vn.png
play.minefort.com:25565,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,268,1337,0,0,0,0,play.minefort.com_25565.png
skywars.com,Unknown,Unknown,PREMIUM,BungeeCord 1.8.x-1.21.x,263,750,10,10,0,0,skywars.com.png
us.skywars.com,Unknown,Unknown,PREMIUM,BungeeCord 1.8.x-1.21.x,263,750,10,10,0,0,us.skywars.com.png
us.skyblock.net,Unknown,Unknown,PREMIUM,BungeeCord 1.8.x-1.21.x,263,750,11,11,0,0,us.skyblock.net.png
skyblock.net,Canada,OVH SAS,PREMIUM,BungeeCord 1.8.x-1.21.x,261,750,11,11,0,1,skyblock.net.png
mp.mmorealms.gg,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.5,247,1000,0,0,0,0,mp.mmorealms.gg.png
mp.mysticmc.co,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,246,500,0,0,0,0,mp.mysticmc.co.png
play.loverfella.com,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.9,241,2500,9,9,0,9,play.loverfella.com.png
sololegends.net,Unknown,Unknown,NO-PREMIUM,XCord 1.7.x - 1.21.x,241,3000,0,0,0,0,sololegends.net.png
mp.loverfella.com,Canada,OVH SAS,DESCONOCIDO,Velocity 1.7.2-1.21.9,240,2500,9,9,0,9,mp.loverfella.com.png
sgp.kingmc.vn:25565,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.9,240,5000,0,0,0,0,sgp.kingmc.vn_25565.png
kiwismp.fun,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,230,456,3,3,0,3,kiwismp.fun.png
play.mc4fun.net,Germany,Zenlayer Inc,DESCONOCIDO,Velocity 1.7.2-1.21.10,227,1000,0,0,0,0,play.mc4fun.net.png
hylex.net,Brazil,Gamers Club Ltda,NO-PREMIUM,Hylex 1.8–1.21,227,3000,0,0,0,0,hylex.net.png
mp.cobblegalaxy.com,United States,OVH SAS,DESCONOCIDO,Velocity 1.7.2-1.21.10,221,1000,0,0,0,0,mp.cobblegalaxy.com.png
danismp.de:25565,Germany,Hetzner Online GmbH,PREMIUM,VeloFlame 1.7.2-1.21.10,211,1000,0,0,0,0,danismp.de_25565.png
mp.netherite.gg,Canada,"Cloudflare, Inc.",DESCONOCIDO,Velocity 1.7.2-1.21.10,209,2025,0,0,0,0,mp.netherite.gg.png
play.stardix.com,Unknown,Unknown,NO-PREMIUM,StarDix 1.8-1.21,209,500,9,9,0,9,play.stardix.com.png
mp.chunklock.com,Canada,"Cloudflare, Inc.",DESCONOCIDO,Velocity 1.7.2-1.21.10,208,10000,0,0,0,0,mp.chunklock.com.png
mp.nauticmc.net,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.9,207,2000,0,0,0,0,mp.nauticmc.net.png
mp.extremecraft.net,France,OVH SAS,DESCONOCIDO,Velocity 1.7.2-1.21.10,202,5000,0,0,0,0,mp.extremecraft.net.png
minekube.net,The Netherlands,"Fly.io, Inc.",PREMIUM,Gate 1.7.2-1.7.5-1.21.9-1.21.10,200,201,0,0,0,0,minekube.net.png
akumamc.net,Unknown,Unknown,PREMIUM,Proxy Connector 2.0 (1.8x-1.21.10),197,2025,0,0,0,0,akumamc.net.png
mp.purevanilla.co,Unknown,Unknown,PREMIUM,BungeeCord 1.8.x-1.21.x,195,400,0,0,0,0,mp.purevanilla.co.png
java.adderall.ir:25565,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,193,500,0,0,0,0,java.adderall.ir_25565.png
mc.gladmc.com,Unknown,Unknown,NO-PREMIUM,GladMC 1.8-1.21,193,400,9,9,0,9,mc.gladmc.com.png
play.hanedanmc.com:25565,Germany,Nodesty LLC,NO-PREMIUM,Velocity 1.7.2-1.21.10,191,777,0,0,0,0,play.hanedanmc.com_25565.png
mc.CapeNW.org:25565,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,188,2025,0,0,0,0,mc.CapeNW.org_25565.png
mc.knightnw.com,Unknown,Unknown,NO-PREMIUM,FlameCord 1.7.x-1.21.x,188,1000,0,0,0,0,mc.knightnw.com.png
mp.zedarmc.com,Unknown,Unknown,DESCONOCIDO,Velocity 1.13-1.21.10,188,300,0,0,0,0,mp.zedarmc.com.png
mc.soulcraft.tc:25565,Unknown,Unknown,NO-PREMIUM,FlameCord 1.7.x-1.21.x,179,180,0,0,0,0,mc.soulcraft.tc_25565.png
mc.lotc.co,United States,"fy, Inc.",PREMIUM,Waterfall 1.16.5 - 1.20.2,177,500,0,0,0,0,mc.lotc.co.png
mcdiamondfire.com,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,177,450,0,0,0,0,mcdiamondfire.com.png
healtzcraft.com,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.10,174,400,3,0,0,0,healtzcraft.com.png
mc.roleplayhub.net,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,173,174,0,0,0,0,mc.roleplayhub.net.png
mp.chickencraft.nl,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.9,169,700,0,0,0,0,mp.chickencraft.nl.png
mp.smashmc.co,United States,AME Hosting LLC,PREMIUM,Velocity 1.7.2-1.19.4,165,500,0,0,0,0,mp.smashmc.co.png
play.stoneworks.gg,Unknown,Unknown,PREMIUM,Velocity 1.21-1.21.8,165,550,5,5,0,5,play.stoneworks.gg.png
Kowamc.com:25565,Unknown,Unknown,NO-PREMIUM,Velocity 1.7.2-1.21.10,164,500,0,0,0,0,Kowamc.com_25565.png
mc.skyblocknetwork.com,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.10,164,3999,0,0,0,0,mc.skyblocknetwork.com.png
